,comment,timestamp
103, 'ae nào có group Marketing clc k cho vô với',13/10/2024
104, 'mình sale điểm hả trường',24/07/2024
105, 'nay trường siêu sale ạ',20/09/2024
106, 'Chất liệu cao =))))',25/08/2024
107, 'chúc mừng các bạn tân sinh viên PTIT',17/10/2024
108, 'Phong cách quáaaa',01/10/2024
109, 'Tập yêu trường',08/08/2024
110, 'Điểm chuẩn tỉ lệ nghịch với học phí',16/08/2024
111, 'Vào check danh sách trúng tuyển nè các e ơi\nhttps://tinhotnhat.pro/danh-sach-trung-tuyen-hoc-vien...',28/08/2024
112, 'Nguyễn Nam ủa bà c link shopee mà c',27/08/2024
113, 'Trường năm nay có vẻ lấy thấp !',30/09/2024
114, 'Trường không xét khối C ạ',01/10/2024
115, 'Cntt chất liệu cao là ngành gì v ạ =)))',20/07/2024
116, 'Nguyễn Tuấn e đỗ attt r a ơi may quá',08/07/2024
117, 'Nguyễn Lê Kanh e siêu quá',15/10/2024
118, 'Oo thật bất ngờ :)))',03/09/2024
119, 'Tuấn Kiệt may k dính lời nguyền thiếu điểm nhè',23/08/2024
120, 'Diệu Châu may woa haha',11/10/2024
121, 'K tăng hả lm tui giật mình',17/10/2024
122, 'Shop lm em bất ngờ quá',04/09/2024
123, 'Omg giảm điểm luôn mà',16/08/2024
124, 'đỗ nhiều ngành quá =))',11/09/2024
125, 'Thay avt thui D24 oiiii https://drive.google.com/.../18s...',03/11/2024
126, 'Có ai ngành Công nghệ đa phương tiện không ạ xin làm quen ạ',06/10/2024
127, 'Phí 100k xts của e :))',18/09/2024
128, 'Thảo Phương làm gì có game',15/08/2024
129, 'Đình Tú cắt kính mới đi,06/07/2024
130, số 19 kìa',30/09/2024
131, 'Đình Tú Trung Quý Lê Văn Tới ny Tú đc đấy',14/09/2024
132, 'Trung Quý Tao Yêu e à',01/08/2024
133, 'Điểm cnđpt vẫn như năm ngoái luôn hay sao',26/09/2024
134, 'May quá trời',25/07/2024
135, 'Ai học CNTT vào đây làm quen nào :))',20/07/2024
136, 'Các chuyên gia dự đoán điểm chuẩn tăng từ 1-1.5 điểm,25/09/2024
137, các bác cứ doạ các cháu thế',14/09/2024
138, 'Êi sao thấp v:)) sao cho t trượt xts r để điểm này thấp vậy:)) ủa trường ơi',29/07/2024
139, 'Trịnh Ngọc Mai trường m làm t bất ngờ quá',27/09/2024
140, 'Thế Sơn các e thấy quả học phí chắc cook sớm rồi',25/07/2024
141, 'biết vậy đặt marketing CLC xuống dưới cùng :)))',19/09/2024
142, 'Huhu vừa đủ đỗ luôn ạ',22/09/2024
143, 'Thế nà lo ve trường từ hôm nay thật rồi',30/09/2024
144, 'Maketting xin chào',18/09/2024
145, 'Học phát triển game tiềm năng k ạ?',28/08/2024
146, 'Lương Mạnh Hưng hình như nếu bạn giỏi tiếng trung thì tuyệt vời',25/09/2024
147, 'Cảnh Huỳnh\nThặt bất ngờ,21/10/2024
148, tụt thấp ri luôn',07/10/2024
149, 'năm nay thấp thế',09/08/2024
150, 'Báo chí thiếu 0,24/10/2024
151,08đ\nđừng vậy màaaaa',06/09/2024
152, 'Dee đỗ rồi',17/10/2024
153, 'ước gì ngành CNTT của trường xét khối D01 ạ',02/07/2024
154, 'Quang chúc mừng tân sinh viên',06/11/2024
155," ""Triệu Thành'h ủa m t đỗ quan hệ công chúng mà t ko học má oi\n",24/10/2024
156," tiếc""",14/09/2024
157, 'Nhìn những ngành mình đã trượt= tsa kìa:)',24/09/2024
158, 'Sốc quá trường ơiiii,12/10/2024
159, giờ thành hàng xóm Ptit rùi',17/08/2024
160, 'Điểm chill ác',11/08/2024
161, 'k dám share',07/10/2024
162, 'Sale sập sàn…',08/10/2024
163, 'sale đỉnh nóc kịch trần',29/08/2024
164, 'Thiếu 0.1 điểm ạ cay',05/11/2024
165, 'Trường điểm đáng iu vãi:))',23/08/2024
166, 'Đỗ gòi',23/08/2024
167, '+1 sinh vien',29/09/2024
168, 'điểm chuẩn năm nay thấp như gpa của em :vvv',31/08/2024
169, 'Không Phải Tuân buồn vậy hả em',28/08/2024
170, 'Kiên Cường dung r',21/08/2024
171, 'Không Phải Tuân haizzzz vậy gpa của iem chắc như điểm sàn của trg',30/09/2024
172, 'Không Phải Tuân khiếp >____< gpa a mấy . mà kêu thấp',12/07/2024
173, 'Không Phải Tuân ngta gpa 4.0 max rồi. GPA bạn 25 26',26/09/2024
174, 'Ngọc Mai trôn à._.',25/08/2024
175, 'Trần Quang Tùng Lan Phương Minhh Vũ đối với cntt thì clc là chất liệu cao m ạ',06/07/2024
176, 'Đoàn Hoàng Nam :)))) chất liệu là m đấy còn gì',15/10/2024
177, 'Đoàn Hoàng Nam ừ đang định hỏi :)))',12/07/2024
178, 'Trần Quang Tùng học nhầm ngành đến h mới biết',13/09/2024
179, 'Đoàn Hoàng Nam giờ thì đúng ngành rồi',21/10/2024
180, '2k8 quyết tâm đỗ PTIT',06/10/2024
181, 'điểm mềm vãi,21/07/2024
182, đậu full',10/10/2024
183, 'có mẫu capcut của trường ko ạ =)))',01/08/2024
184, 'Năm sau CNTT UDU nổ lên 26+ cho chiến nhé =))',01/08/2024
185, 'Shop ơi. Em đặt báo chí nv4 vẫn được đúng không.',31/08/2024
186, 'Thảo Phạm chúc mừng chúc mừng',03/08/2024
187, 'trùm cuối sale sập sàn luôn gòi ạ',11/09/2024
188, 'https://m.me/j/AbZdxu9CbVNfYj6b/',30/10/2024
189, 'Chứng chỉ SAT trường quy đổi điểm như nào vậy Ad? Cảm ơn',17/09/2024
190, 'Đi bắn bia về biết tin đậu nv1',10/07/2024
191, 'Sale kinh thật',16/08/2024
192, 'Sốc đau tim',19/09/2024
193, 'Vừa zin :))',13/07/2024
194, 'Dễ thương dữ sốp',05/11/2024
195, 'Đỗ fintech rồi kkkk',28/07/2024
196, 'Các bé TTĐPT về bờ ngay cho tuiii',20/10/2024
197, 'Kien Quach cuối cùng nó cũng chịu công bố r nè',25/09/2024
198, 'Đặng Hương Giang :)) tắm rửa thơm tho hết r ms công bố',21/09/2024
199, 'Dự báo cao quá,05/08/2024
200, các b chạy hết :))))',31/08/2024
201, 'Nguyễn Hiếu năm nay điểm thấp r',12/10/2024
202, 'Trần Đỗ Minh ngành mk lên mà',02/11/2024
203, 'Xuống đáy rồi',11/07/2024
204, 'Có ai học tke ptrien game kh\ncho em xin ít trải nghiệm',18/07/2024
205, 'Các bé đừng quên follow page Đoàn thanh niên Học viện Công nghệ Bưu chính Viễn thông để cập nhật các sự kiện thú vị dành cho tân sinh viên sắp tới nhé. PTIT chào đón các em',12/10/2024
206, 'hứa yêu trường',26/08/2024
207, 'D24 up avt trường đã r tính sau',12/09/2024
208, 'Điểm năm nay sale dữ v =)))',23/08/2024
209, 'Đáy',11/09/2024
210, 'Điểm chuẩn này có tính điểm ưu tiên theo khu vực k ạ',10/08/2024
211, 'Vang trời luôn shop ơi',30/08/2024
212, 'Lỡ hẹn v',14/07/2024
213, 'ai cndpt ko',22/08/2024
214, 'Ph Bình ê nếu mà t xếp trc là đỗ qhcc',30/08/2024
215, 'Lâm Hưởng hối hận ch ,28/10/2024
216, đỗ r nè nv14',03/08/2024
217, 'Thu Hường Phạm Khánh Ly Nguyễn P.L Nguyễn Thị Kiều cái tăng duy nhất bâyh là học phí',07/07/2024
218, 'Điểm cao thế',18/07/2024
219, 'Hơi lâuu nha',06/10/2024
220, 'Nguyễn Phú BìnhĐinh Đạt đỗ chứ nhể',11/08/2024
221, 'Nguyễn Đức Thịnh vào rồi mình party thôi',14/10/2024
222, 'Nguyễn Phú Bình doki doki',22/07/2024
223, 'suýt sao quá :))',08/07/2024
224, 'chẳng bt 2027 lấy bnh điểm đây',06/11/2024
225, 'Ngon rồi vô đtvt rồi trượt hust vô ptit cx đc',03/11/2024
226, 'Đã bắt đầu gửi mail chưa ạ',14/07/2024
227, 'Đáng yêu',24/07/2024
228, 'Yeahhhh em đỗ rồi',27/07/2024
229, 'Thấp quá mất uy nhá',12/07/2024
230, 'Vc tí thì đỗ r',10/07/2024
231, 'Đoàn Hiếu tóm lại h bố học trường nào:))',09/09/2024
232, 'Phạm Nguyên :)) hust',21/08/2024
233, 'Phạm Nguyên toàn sảy 0,21/09/2024
234,3',13/09/2024
235, 'vl tiếc quá',13/08/2024
236, 'sao lại ra nông nỗi này',24/07/2024
237, 'Chiến Lê :^) lòng đau như cắt nc mắt đầm đìa',05/09/2024
238, 'Nguyễn Thế Học tôi vẫn sợ con ng anh',23/07/2024
239, 'Em yêu PTIT vê cê',25/07/2024
240, 'sale sập sàn Minh Vu',05/11/2024
241, 'Trường nhảy moonwalk ngang Michael Jackson',26/10/2024
242, 'Gia nhập',27/07/2024
243, 'Quàoooo đỗ r hihi',25/08/2024
244, 'Các bé D24 CNTT nếu có thắc mắc gì hãy mạnh dạn ib hỏi page ITClub PTIT HN nhé',18/07/2024
245, 'cứ ngỡ là điểm chuẩn tăng',28/09/2024
246, 'Tuấn Đặng đỗ ngành j?',20/08/2024
247, 'Hêh đỗ ròi',30/07/2024
248, 'Mất giá rồi',23/09/2024
249, 'đỗ r ạ nhưng ko bt trường có phát ny ko nhể',17/07/2024
250, 'Nguyễn Tứ CNTT Việt Nhật có 24.25đ',30/10/2024
251, 'IT downtrend rồi à shop!!!',30/08/2024
252, 'Phấn đấu đến năm 2030,14/10/2024
253, tầm nhìn 2040 điểm chuẩn xuống dưới 20',05/10/2024
254, 'Chàaa',19/10/2024
255, 'Nguyễn Thành Chung đủ để làm trùm cuối luôn a =>',03/08/2024
256, 'Sale sập sàn',05/08/2024
257, 'Dương Thế Khanh điểm thấp v ò',07/08/2024
258, 'Đào Thị Khánh Linh t đã bảo là sẽ giảm mà',08/10/2024
259, 'Dương Thế Khanh Ảo ma lắm',11/08/2024
260, 'Trung Vũ xem lại chưa',31/08/2024
261, 'Quỳnh Trang đã bảo trượt r::)',11/10/2024
262, 'Ờm,05/07/2024
263, dư mất 1đ r',24/07/2024
264, 'Sốc nha :))) sao điểm xts cao vậy',14/08/2024
265, 'Phía Nam đâu ạ',06/11/2024
266, 'Mới thấy báo chí 26₫ á ( e bất ngờ,29/08/2024
267, k gạch đá dou ạ\n).',23/09/2024
268, 'Tuấn Nguyễn tân sinh viên ơi',12/10/2024
269, 'Siêu sales rằm tháng 7...Cô hồn cùng zuiiii',09/10/2024
270, 'Lê Phương Thảo mé attt giảm kìa :)))',05/11/2024
271, 'Nguyễn Quỳnh Trâm vãi đỉnh',29/07/2024
272, 'VIỆC LÀM CHUYÊN DỤNG CHO HỌC SINH,09/09/2024
273, SINH VIÊN\nMôi trường NĂNG ĐỘNG - TUỔI TEEN - PHÁT TRIỂN kĩ năng mềm … Xem thêm',22/07/2024
274, 'Lâu thế',10/08/2024
275, 'Lê Ngọc Duy ĐƯỢC RỒI ĐI THÔI',16/10/2024
276, 'Nguyễn Thế Nhã oách quá',13/09/2024
277, 'Nguyễn Tiến Đạt năm nay mềm hơn nhỉ',15/10/2024
278, 'Trần Khánh Thành mềm mới dễ làm tân cổ đông e',29/07/2024
279, 'Học về chíp và bán dẫn là ngành nào vậy ạ Học viện Công nghệ Bưu chính Viễn thông - PTIT',13/10/2024
280, 'Nguyễn Tùng Dương đỗ nv1 ròi pko',18/10/2024
281, 'Ng Hong chào ptiter nha',06/09/2024
282, 'Đặng Minh chúc mừng e',09/09/2024
283, 'chà',13/07/2024
284, 'Khanh Toan siêu sale 19/8',26/09/2024
285, 'Star Lương số 5 số 5 =))',30/08/2024
286, 'Thanh Huyền cố lên',22/09/2024
287, 'quá đẹp luon',02/10/2024
288, 'Lường Hùng đỗ chưa e',03/07/2024
289, 'Thanh Huyen Nguyen đậu tự động hoá ptit rồi này',25/10/2024
290, 'Bùi Thị Hiềnn tới luôn đi',16/07/2024
291, 'Nguyễn Thị Phương Thu sao lại thế',02/07/2024
292, 'tắt gáy luôn',24/09/2024
293, 'Nguyễn Thị Phương Thu chưa tới 9/9 mà trường sale mạnh vậy',10/08/2024
294, 'Hoàng Huy share đi b,18/10/2024
295, năm nay ra sớm này',11/08/2024
296, 'Chúc mừng Học viện Công nghệ Bưu chính Viễn thông - PTIT đã có thêm 2 cổ đông tinh hoa Vũ Thảo và Phạm Mai Anh nhé',10/08/2024
297, 'Nguyễn Thảo Nguyên dạaa',15/08/2024
298, 'Hữu Hiếu em ơi',17/10/2024
299, 'Hung Thanh Pham đỗ không em',27/10/2024
300, 'Đs Quân 24.87 kìa a',27/10/2024
301, 'Phạm Quốc Hưng buồn vậy',03/11/2024
302, 'Thổ Thiếu Ngạc 24,28/09/2024
303,94 m ơi',27/09/2024
304, 'Cao Dat yên bề gia thất',13/07/2024
305, 'thừa thắng xông lênnnnn',01/08/2024
306, 'Yến Nhi ơ kìa attt',29/10/2024
307, 'Nguyễn Thùy Giang phong cách',03/09/2024
308, 'Phương Vũ Ai sợ thì đi về',18/07/2024
309, 'Tú Nguyễn Doanh Tran Nguyễn Kiến Quốc nãy ai đoán chuẩn',21/10/2024
310, 'Nguyễn Quang Nam đáy xh quá:))',28/07/2024
311, 'Nguyễn Kiến Quốc thế cx đỉnh nóc roài',10/09/2024
312, 'Nguyễn Quang Nam không chuẩn lắm nma gần đúng sai số 0.15',05/09/2024
313, 'tôi đoán 25,27/10/2024
314,75 mà',03/08/2024
315, 'Nguyen Thai muon gap en',24/07/2024
316, 'Thảo Thảo Thảo ở một vũ trụ nào đó mà ptit rẻ hơn',06/11/2024
317, 'Trịnh Quang Anh nghe quả 850k các em chạy vội',01/09/2024
318, 'Trần Minh Anh tôi đỗ cnđpt r bạn ơi',23/08/2024
319, 'Quỳnh Như dc 1 vé học cùng hk rồi nhé',30/09/2024
320, 'Quỳnh Như sáng bảo anh lai đi học',06/10/2024
321, 'Trôn.',10/09/2024
322, 'Tuấn Anh bạn đỗ không',19/09/2024
323, 'Linhh Bùi em thích chị',02/07/2024
324, 'Thu Linh mắc j thích',02/07/2024
325, 'Linhh Bùi em thấy chị đỗ ptit,30/08/2024
326, quá ngầu',11/09/2024
327, 'Thu Linh dức đuýt',17/09/2024
328, 'Tưởng tăng chứ',19/10/2024
329, 'Chii Dânn siêu sale',29/07/2024
330, '@lộc Lộc Dương',01/09/2024
331, 'Quang Hieu Nguyen Duy Linh đỗ chưa :)))',01/10/2024
332, 'Đỗ Huy Hoàng trượt r điểm chuẩn cao quá',11/10/2024
333, 'Dương Đức Huy tdh xịn ác',12/07/2024
334, 'Đức Nguyễn anh oi em trượt rồi huhu',24/07/2024
335, 'Đức Anh Nguyen ô định khao tôi cj',05/09/2024
336, 'Nguyễn Hồng Hải oai chưa',13/07/2024
337, 'Trịnh Phương Chi ko oai',17/10/2024
338, 'Nguyen Hong Hanh này :))',13/10/2024
339, 'Phạm eeyyy',13/07/2024
340, 'Hà My đỗ chưa c ơi',14/09/2024
341, 'Dương Hoàng đỗ nvong 1 rùiiii',28/08/2024
342, 'Phạm Khải shock',04/09/2024
343, 'Tang Hoang Qui flash sale',02/07/2024
344, 'Phạm Khải sập sàn',08/09/2024
345, 'công nghệ thông tin chất liệu cao :)))',04/09/2024
346, 'HoànG Việt newbe hunter',17/10/2024
347, 'Nguyễn Minh hellooo bạn mới',28/09/2024
348, 'Hieu Nguyen cậu ngành nào thế',20/09/2024
349, 'Nguyễn Minh tớ công nghệ thông tin cậu ơi',07/09/2024
350, 'Hieu Nguyen cậu mua điểm à tớ với cậu tx1 thôi',17/10/2024
351, 'Nguyễn Minh tớ thi tsa cậu ơi',14/10/2024
352, 'Hieu Nguyen cậu còn chưa bằng kong nữa',21/09/2024
353, 'Nguyễn Minh cậu nhầm à tớ là kăng mà',29/09/2024
354, 'Nguyễn Thắng giật mình',27/09/2024
355, 'Viễn Dương múc đi em đỗ D kì',06/07/2024
356, 'Nguyễn Thắng ê sao lấy đgtd cao hơn back khoa mà thpt lạ v',17/07/2024
357, 'Viễn Dương sao hỏi tao :))))',23/08/2024
358, 'Hehhe bất ngờ quá,18/07/2024
359, đỗ ptit rùi ạ. Em yêu trường P giống như cách mà người con gái em yêu\nP',26/10/2024
360, 'Hùng Minh',06/08/2024
361, 'Công Long',18/10/2024
362, 'Nguyễn Long',23/08/2024
363, 'Ngô Việt Tiến',27/10/2024
364, 'An Thanh Thời',26/07/2024
365, 'Uyên Uyên',09/10/2024
366, '',06/08/2024
367, 'Luyện Lương',22/07/2024
368, 'Haa Toann điểm giảm buồn quá ,22/10/2024
369,sao k tăng lấy vài điểm',02/09/2024
370, 'Zangg Zang',14/07/2024
371, 'Kìu Thành Đạt Vũ Thái',28/09/2024
372, 'Ph Lien èo',25/08/2024
373, 'Vũ Thái năm nay giảm nhỉ',03/10/2024
374, 'Kìu Thành Đạt giảm ỉa ra quần',14/09/2024
375, '',13/10/2024
376, '0,03/10/2024
377,05',10/07/2024
378, ':))))',20/07/2024
379, 'Tuan Thanh ê',19/07/2024
380, 'Tran Ngoc Ly',23/07/2024
381, 'Tùng Thanh Khánh Phạm',27/07/2024
382, 'Nguyên Khánh',21/09/2024
383, 'Phùng Hoàng',12/10/2024
384, 'Nguyễn Duy',04/08/2024
385, 'Phạm Giang -))))',15/08/2024
386, 'Trần Tùng',18/07/2024
387, 'Đức Tài Đỗ Hoàng Phúc Quang Tran',22/08/2024
388, '',16/09/2024
389, 'Lưu Mạnh',09/08/2024
390, 'Lưu Ngát may là thừa 0,19/07/2024
391,03 điểm',29/09/2024
392, 'Lưu Mạnh aonhey',12/07/2024
393, 'thừa 0.04 chào thừa 0.03',27/08/2024
394, '?',04/09/2024
395, 'Nguyễn Ánh Tuyết',18/10/2024
396, 'Hung Mai',15/09/2024
397, 'https://www.facebook.com/groups/d24ptithanoi',16/10/2024
398, '20. Công nghệ thông tin chất liệu cao@@',01/10/2024
399, 'Hết mụn đẹp trai xinh gái chỉ với 99k tại @AYG Trị Mụn số 1 Hà Đông',07/07/2024
400, 'Em là chất liệu cao nhe\nDương Quang Hào',23/10/2024
401, 'Nguyen Duc Tu chào tân sinh viên PTIT',27/08/2024
402, 'Huyền Nguyễn hơi bất ngờ',07/08/2024
403, 'Phạm Thị Khánh Huyền hihi',08/08/2024
404, 'iu ptit',15/10/2024
405, 'All in ptit',01/10/2024
406, 'Uâyyyyy',14/09/2024
407, 'Lê Minh Sơn đậu r',22/10/2024
408, 'Lưu Minh bú',30/09/2024
409, 'up’ bo^',10/07/2024
410, 'Đỗ r Trần HoàngAnh',16/08/2024
411, 'Ngô Quang Huy thiếu 0.1 :((((',30/09/2024
412, 'Tạ Minh Quang hic hic',24/10/2024
413, 'Giang Đoàn đặt vào là đỗ hết chứ còn',06/11/2024
414, 'Mỹ Tâm full',17/08/2024
415, 'Sale'],30/08/2024
416,['Còn 2 cây bàng bên hông phải nhà a2 nữa mà ad',21/08/2024
417, 'Cây sưa còn ổn khum',13/07/2024
418," ""Lưu Thị Nguyệt Anh ổnn't""",14/10/2024
419, 'Lưu Thị Nguyệt Anh may quá,05/08/2024
420, em nó vẫn ổn để còn có chỗ cho các anh chị sv check in',31/08/2024
421, 'Học viện Công nghệ Bưu chính Viễn thông - PTIT trộm vía chứ hoa rõ đẹp luôn ad',18/08/2024
422, 'Hóa ra học phí bọn e đặt ở đây..',10/10/2024
423, 'giống phim kinh dị quá ạ',23/09/2024
424, ':,06/08/2024
425,))) đá ốp tường cũng k yên hả',16/10/2024
426, 'Minh Hue Bui năm sau cô trò mình hết chụp ảnh bằng lăng oyyyy',06/10/2024
427, 'Hoàng Hải Lý vẫn còn nhiều mà,01/10/2024
428, nó thấp nên đỡ hơn các cây cao',07/09/2024
429, 'Mai nhập học chỉ đổi ngày còn giờ vẫn giữ nguyên ạ ad',11/10/2024
430, 'Hậu Lee vì chỉ còn số ít sv chưa nhập học nên em đến nhập học vào buổi sáng được nhé',11/09/2024
431, 'Confession mới cho mn muốn hỏi gì mà ngại nhee\nLink Page bên dưới',10/07/2024
432, 'Mong trường sớm chữa lành',12/10/2024
433, 'Phạm Văn Phúc thời gian sẽ chữa lành mọi vết thương em ạ',02/09/2024
434, 'May quá vợ không bị lsao',20/09/2024
435, 'cứu em mn ơi học zoom 3h mà baaaayh em ko tìm đc link ạ huhu',31/07/2024
436, 'Ai cho tôi biết cây sưa cổng trường sao rồi đii',22/10/2024
437, 'Nguyễn Thu Hiền nhìn trường cũng buồn nhưng mà mai mình đi nhặt sấu không:((',22/10/2024
438, 'Nguyễn Kim Huệ nay nhặt xoài chưa đã tay hả mà còn tính mai đi nhặt tiếp',05/09/2024
439, 'khủng khiếp thật',27/08/2024
440, 'Linh Ngọc Ngô Huyền hsau học lí mát lắm',18/10/2024
441, 'Ngọc Ahn Hoà mk vào thiên nhiên',22/10/2024
442, 'Linh Ngọc Ngọc Ahn mang chăn lên đắp',22/09/2024
443, 'Ngô Huyền phòng thông vs ngoài trời r,05/07/2024
